Year,Year2021Num,TherOrGeneral,PaperLanguage,LanguageOfCORE,OpenAccess,Empirical,AssessmentStructure,DataAvailable,EmbeddedInTherapy,WhichCOREInstruments,FormatOfMeasure,OtherMeasureNames,Countries,AgeGroups,GenderCategories,Author,DOI,URL,ref,shinyID,TitleExcel,OtherMeasureNamesLwr,inclYP,inclOP,cite,Foci
2001,2001,Treatment,English,NA,N,Empirical,Only once,N,N,CORE-OM;,As an interview/Interview-assisted;,"General Health Questionnaire (GHQ-12),Hospital Anxiety and Depression Scale (HAD),Extended Activities of Daily Living Scale (EADL),Beck Depression Inventory Version II (BDI),Beck Anxiety Inventory (BAI),Guy’s Neurological Disability Scale (GNDS),Brief Symptom Inventory (BSI),Carer Strain Index (CSI)",UK,NA,Men;Women,"nicholl, catherine r; lincoln, nadina b; francis, valerie m; stephan, talal f",10.1191/0269215501cr427oa,<a href='http://journals.sagepub.com/doi/10.1191/0269215501cr427oa' target='_blank' >http://journals.sagepub.com/doi/10.1191/0269215501cr427oa</a>,"Nicholl, Catherine R, Lincoln, Nadina B ... Stephan, Talal F (2001) Assessment of emotional problems in people with multiple sclerosis. Clinical Rehabilitation 15:15(6):657-668",2001_006,assessment of emotional problems in people with multiple sclerosis,"general health questionnaire (ghq-12),hospital anxiety and depression scale (had),extended activities of daily living scale (eadl),beck depression inventory version ii (bdi),beck anxiety inventory (bai),guy’s neurological disability scale (gnds),brief symptom inventory (bsi),carer strain index (csi)",NA,NA,"Nicholl, Catherine R, Lincoln, Nadina B ... Stephan, Talal F (2001)",
2002,2002,Treatment,English,English,Y,Empirical,Pre-post,N,N,CORE-OM;,Paper and pencil;,Beck Depression Inventory-II (BDI-II),UK,NA,Men;Women,"evans, chris; connell, janice; barkham, michael; margison, frank; mcgrath, graeme; mellor-clark, john; audin, kerry",10.1192/bjp.180.1.51,<a href='https://www.cambridge.org/core/product/identifier/S0007125000160453/type/journal_article' target='_blank' >https://www.cambridge.org/core/product/identifier/S0007125000160453/type/journal_article</a>,"Evans, Chris, Connell, Janice ... Audin, Kerry (2002) Towards a standardised brief outcome measure: Psychometric properties and utility of the CORE–OM. British Journal of Psychiatry 180:180(1):51-60",2002_001,towards a standardised brief outcome measure: psychometric properties and utility of the core-om,beck depression inventory-ii (bdi-ii),Y,NA,"Evans, Chris, Connell, Janice ... Audin, Kerry (2002)",
2002,2002,Treatment,English,English,N,Empirical,Only once,N,N,CORE-OM;,Paper and pencil;,"Impact of Event Scale (IES),General Health Questionnaire (GHQ),Reactions Questionnaire (RQ)",UK,Any adults;,Men;Women,"mezey, gill; evans, chris; hobdell, kathy",10.1348/147608302169553,<a href='http://doi.wiley.com/10.1348/147608302169553' target='_blank' >http://doi.wiley.com/10.1348/147608302169553</a>,"Mezey, Gill, Evans, Chris ... Hobdell, Kathy (2002) Families of homicide victims: Psychiatric responses and help-seeking. Psychology and Psychotherapy: Theory, Research and Practice 75:75(1):65-75",2002_002,families of homicide victims: psychiatric responses and help-seeking,"impact of event scale (ies),general health questionnaire (ghq),reactions questionnaire (rq)",NA,NA,"Mezey, Gill, Evans, Chris ... Hobdell, Kathy (2002)",Trauma/abuse
2002,2002,Treatment,English,NA,N,Empirical,Pre-post,N,N,CORE-OM;,Unknown;,NA,UK,NA,Men,"williamson, ann",10.1002/ch.248,<a href='https://onlinelibrary.wiley.com/doi/10.1002/ch.248' target='_blank' >https://onlinelibrary.wiley.com/doi/10.1002/ch.248</a>,"Williamson, Ann (2002) Chronic psychosomatic pain alleviated by brief therapy. Contemporary Hypnosis 19:19(3):118-124",2002_003,chronic psychosomatic pain alleviated by brief therapy,NA,NA,NA,"Williamson, Ann (2002)",Psychosomatic disorders
2003,2003,Treatment,English,NA,Y,Empirical,Pre-post,N,N,CORE-OM;,Unknown;,"Global Assessment of Functioning Scale (GAF),Client Satisfaction Questionnaire and Patient Questionnaire (CSQ/Q-P)",UK,NA,Men;Women,"adelman, simon; ward, anne; davison, sue",10.1192/pb.27.10.371,,"Adelman, Simon, Ward, Anne ... Davison, Sue (2003) Setting up clinical audit in a psychodynamic psychotherapy service: A pilot study. Psychiatric Bulletin 27:371-374",2003_001,setting up clinical audit in a psychodynamic psychotherapy service: a pilot study,"global assessment of functioning scale (gaf),client satisfaction questionnaire and patient questionnaire (csq/q-p)",NA,NA,"Adelman, Simon, Ward, Anne ... Davison, Sue (2003)",
2003,2003,Treatment,English,English,N,Empirical,Pre-post,N,Y,CORE-OM;CORE-A(TAF);CORE-A(EoT);,Electronic/automated instruments;Paper and pencil;,NA,UK,NA,Men;Women,"evans, chris; connell, janice; barkham, michael; marshall, chris; mellor-clark, john",10.1002/cpp.384,<a href='https://onlinelibrary.wiley.com/doi/10.1002/cpp.384' target='_blank' >https://onlinelibrary.wiley.com/doi/10.1002/cpp.384</a>,"Evans, Chris, Connell, Janice ... Mellor-Clark, John (2003) Practice-based evidence: Benchmarking NHS primary care counselling services at national and local levels. Clinical Psychology & Psychotherapy 10:10(6):374-388",2003_002,practice-based evidence: benchmarking nhs primary care counselling services at national and local levels,NA,Y,NA,"Evans, Chris, Connell, Janice ... Mellor-Clark, John (2003)",Anxiety; DepressionEating disorders; 
2003,2003,Treatment,English,English,N,Empirical,Pre-post,N,N,CORE-OM;CORE-A(TAF);CORE-A(EoT);,As an interview/Interview-assisted;,NA,UK,NA,Men;Women,"gardiner, christine; mcleod, john; hill, irene; wigglesworth, andrea",10.1080/14733140312331384283,<a href='http://doi.wiley.com/10.1080/14733140312331384283' target='_blank' >http://doi.wiley.com/10.1080/14733140312331384283</a>,"Gardiner, Christine, McLeod, John ... Wigglesworth, Andrea (2003) A feasibility study of the systematic evaluation of client outcomes in a voluntary sector counselling agency. Counselling and Psychotherapy Research 3:3(4):285-290",2003_003,a feasibility study of the systematic evaluation of client outcomes in a voluntary sector counselling agency,NA,Y,NA,"Gardiner, Christine, McLeod, John ... Wigglesworth, Andrea (2003)",Anxiety; Depression; Grief/loss
2003,2003,Treatment,English,NA,N,Non-empirical,Not applicable,NA,NA,NA,NA,"Beck Depression Inventory (BDI),Inventory for Interpersonal Problems-32 (IIP-32)",NA,NA,Not applicable,"lucock, mike; leach, chris; iveson, steve; lynch, karen; horsefield, carrie; hall, patricia",10.1002/cpp.385,<a href='https://onlinelibrary.wiley.com/doi/10.1002/cpp.385' target='_blank' >https://onlinelibrary.wiley.com/doi/10.1002/cpp.385</a>,"Lucock, Mike, Leach, Chris ... Hall, Patricia (2003) A systematic approach to practice-based evidence in a psychological therapies service. Clinical Psychology & Psychotherapy 10:10(6):389-399",2003_004,a systematic approach to practice-based evidence in a psychological therapies service,"beck depression inventory (bdi),inventory for interpersonal problems-32 (iip-32)",NA,NA,"Lucock, Mike, Leach, Chris ... Hall, Patricia (2003)",
2004,2004,Treatment,English,NA,Y,Non-empirical,Not applicable,NA,NA,NA,NA,"Measure Yourself Medical Outcome Profile (MYMOP),Psychological Outcome Profiles (PSYCHLOPS)",NA,NA,Not applicable,"ashworth, mark; shepherd, melanie; christey, jeremy; matthews, veronica; wright, kevin; parmentier, henk; robinson, susan; godfrey, emma",10.1080/14733140412331383913,<a href='http://doi.wiley.com/10.1080/14733140412331383913' target='_blank' >http://doi.wiley.com/10.1080/14733140412331383913</a>,"Ashworth, Mark, Shepherd, Melanie ... Godfrey, Emma (2004) A client-generated psychometric instrument: The development of ‘PSYCHLOPS’. Counselling and Psychotherapy Research 4:4(2):27-31",2004_001,a client-generated psychometric instrument: the development of ‘psychlops',"measure yourself medical outcome profile (mymop),psychological outcome profiles (psychlops)",NA,NA,"Ashworth, Mark, Shepherd, Melanie ... Godfrey, Emma (2004)",
2004,2004,Treatment,English,English,N,Empirical,"Fixed intervals (e.g., once a month, once every two weeks)",N,N,CORE-OM;,Unknown;,Person’s Relating to Others Questionnaire (PROQ2),UK,Any adults;,Men;Women,"birtchnell, john; denman, chess; okhai, farouk",10.1348/1476083042555398,<a href='http://doi.wiley.com/10.1348/1476083042555398' target='_blank' >http://doi.wiley.com/10.1348/1476083042555398</a>,"Birtchnell, John, Denman, Chess ... Okhai, Farouk (2004) Cognitive analytic therapy: Comparing two measures of improvement. Psychology and Psychotherapy: Theory, Research and Practice 77:77(4):479-492",2004_002,cognitive analytic therapy: comparing two measures of improvement,person’s relating to others questionnaire (proq2),N,N,"Birtchnell, John, Denman, Chess ... Okhai, Farouk (2004)",
2004,2004,General population,English,English,N,Empirical,Multiple completions for other than therapy purposes,Y,N,CORE-GP;,Unknown;,NA,UK,NA,Men;Women;Unspecified,"cooke, richard; barkham, michael; audin, kerry; bradley, margaret; davy, john",10.1080/0309877032000161814,<a href='http://www.tandfonline.com/doi/abs/10.1080/0309877032000161814' target='_blank' >http://www.tandfonline.com/doi/abs/10.1080/0309877032000161814</a>,"Cooke, Richard, Barkham, Michael ... Davy, John (2004) Student debt and its relation to student mental health. Journal of Further and Higher Education 28:28(1):53-66",2004_003,student debt and its relation to student mental health,NA,NA,NA,"Cooke, Richard, Barkham, Michael ... Davy, John (2004)",
2004,2004,Treatment,English,English,N,Empirical,Only once,N,N,CORE-OM;,Paper and pencil;,Six-part Story Method (6PSM),UK,NA,Men;Women,"dent-brown, kim; wang, michael",10.1348/1476083041839321,<a href='http://doi.wiley.com/10.1348/1476083041839321' target='_blank' >http://doi.wiley.com/10.1348/1476083041839321</a>,"Dent-Brown, Kim & Wang, Michael (2004) Developing a rating scale for projected stories. Psychology and Psychotherapy: Theory, Research and Practice 77:77(3):325-333",2004_004,developing a rating scale for projected stories,six-part story method (6psm),NA,NA,"Dent-Brown, Kim & Wang, Michael (2004)",Personality
2004,2004,Treatment,English,English,N,Empirical,Only once,N,N,CORE-OM;,Unknown;,NA,UK,Any adults;,Men;Women,"dent-brown, kim; wang, michael",10.1016/j.aip.2004.09.001,,"Dent-Brown, Kim & Wang, Michael (2004) Pessimism and failure in 6-part stories: Indicators of borderline personality disorder?. The Arts in Psychotherapy 31:31(2004):321-333",2004_005,pessimism and failure in 6-part stories: indicators of borderline personality disorder?,NA,N,N,"Dent-Brown, Kim & Wang, Michael (2004)",Depression; Personality
2004,2004,Treatment,English,English,N,Empirical,Pre-post,N,N,CORE-OM;,Unknown;,Sheffield Psychotherapy Ratings Scale (SPRS),UK,NA,Men;Women,"guthrie, elspeth; margison, frank; mackay, hannah; chew-graham, carolyn; moorey, james; sibbald, bonnie",10.1093/ptr/kph015,<a href='https://www.tandfonline.com/doi/full/10.1093/ptr/kph015' target='_blank' >https://www.tandfonline.com/doi/full/10.1093/ptr/kph015</a>,"Guthrie, Elspeth, Margison, Frank ... Sibbald, Bonnie (2004) Effectiveness of psychodynamic interpersonal therapy training for primary care counselors. Psychotherapy Research 14:14(2):161-175",2004_006,effectiveness of psychodynamic interpersonal therapy training for primary care counselors,sheffield psychotherapy ratings scale (sprs),NA,NA,"Guthrie, Elspeth, Margison, Frank ... Sibbald, Bonnie (2004)",Depression; 
2004,2004,Treatment,English,NA,N,Empirical but did not use CORE,Not applicable,NA,NA,NA,NA,Outcome Questionnaire-45 (OQ-45),NA,NA,Not applicable,"hawkins, eric j.; lambert, michael j.; vermeersch, dave a.; slade, kärstin l.; tuttle, kenneth c.",10.1093/ptr/kph027,<a href='https://www.tandfonline.com/doi/full/10.1093/ptr/kph027' target='_blank' >https://www.tandfonline.com/doi/full/10.1093/ptr/kph027</a>,"Hawkins, Eric J., Lambert, Michael J. ... Tuttle, Kenneth C. (2004) The therapeutic effects of providing patient progress information to therapists and patients. Psychotherapy Research 14:14(3):308-327",2004_007,the therapeutic effects of providing patient progress information to therapists and patients,outcome questionnaire-45 (oq-45),NA,NA,"Hawkins, Eric J., Lambert, Michael J. ... Tuttle, Kenneth C. (2004)",
2005,2005,Treatment,English,English,N,Empirical,Only once,N,N,CORE-OM;,Unknown;,Psychological Outcome Profiles (PSYCHLOPS),UK,NA,Men;Women,"ashworth, mark; robinson, susan i.; godfrey, emma; parmentier, henk; shepherd, melanie; christey, jeremy; wright, kevin; matthews, veronica",10.1080/14733140512331343886,<a href='http://doi.wiley.com/10.1080/14733140512331343886' target='_blank' >http://doi.wiley.com/10.1080/14733140512331343886</a>,"Ashworth, Mark, Robinson, Susan I. ... Matthews, Veronica (2005) The experiences of therapists using a new client-centred psychometric instrument, PSYCHLOPS (Psychological Outcome Profiles). Counselling and Psychotherapy Research 5:5(1):37-42",2005_001,"the experiences of therapists using a new client-centred psychometric instrument, psychlops (psychological outcome profiles)",psychological outcome profiles (psychlops),NA,NA,"Ashworth, Mark, Robinson, Susan I. ... Matthews, Veronica (2005)",
2005,2005,Treatment,English,English,Y,Empirical,Pre-post,N,N,CORE-OM;,Paper and pencil;,Psychological Outcome Profiles (PSYCHOLPS),UK,NA,Men;Women,"ashworth, mark; robinson, susan; godfrey, emma; shepherd, melanie; evans, chris; seed, paul; parmentier, henk; tylee, andre",NA,,"Ashworth, Mark, Robinson, Susan ... Tylee, Andre (2005) Measuring mental health outcomes in primary care: The psychometric properties of a new patient-generated outcome measure, ‘PSYCHLOPS’ (‘psychological outcome profiles’). Primary Care Mental Health 3:3(4):261-270",2005_002,"measuring mental health outcomes in primary care: the psychometric properties of a new patient-generated outcome measure, ‘psychlops' (‘psychological outcome profiles')",psychological outcome profiles (psycholps),Y,NA,"Ashworth, Mark, Robinson, Susan ... Tylee, Andre (2005)",
2005,2005,Treatment,English,English,N,Empirical,Only once,N,N,CORE-OM;,Paper and pencil;,NA,UK,Elderly;,Men;Women,"barkham, m.; culverwell, a.; spindler, k.; twigg, e.",10.1080/13607860500090052,<a href='https://www.tandfonline.com/doi/full/10.1080/13607860500090052' target='_blank' >https://www.tandfonline.com/doi/full/10.1080/13607860500090052</a>,"Barkham, M., Culverwell, A. ... Twigg, E. (2005) The CORE-OM in an older adult population: Psychometric status, acceptability, and feasibility. Aging & Mental Health 9:9(3):235-245",2005_003,"the core-om in an older adult population: psychometric status, acceptability, and feasibility",NA,N,Y,"Barkham, M., Culverwell, A. ... Twigg, E. (2005)",
2005,2005,Treatment,English,NA,Y,Empirical,Only once,N,N,CORE-OM;CORE-A(TAF);,Unknown;,NA,UK,NA,Men;Women,"barkham, michael; gilbert, naomi; connell, janice; marshall, chris; twigg, elspeth",10.1192/bjp.186.3.239,<a href='https://www.cambridge.org/core/product/identifier/S0007125000078569/type/journal_article' target='_blank' >https://www.cambridge.org/core/product/identifier/S0007125000078569/type/journal_article</a>,"Barkham, Michael, Gilbert, Naomi ... Twigg, Elspeth (2005) Suitability and utility of the CORE–OM and CORE–A for assessing severity of presenting problems in psychological therapy services based in primary and secondary care settings. British Journal of Psychiatry 186:186(3):239-246",2005_004,suitability and utility of the core-om and core-a for assessing severity of presenting problems in psychological therapy services based in primary and secondary care settings,NA,NA,NA,"Barkham, Michael, Gilbert, Naomi ... Twigg, Elspeth (2005)",
2005,2005,Treatment,English,English,N,Empirical,Pre-post,N,N,CORE-OM;,Unknown;,Mindfulness Questionnaire (MQ),UK,NA,Men;Women,"chadwick, paul; taylor, katherine newman; abba, nicola",10.1017/S1352465805002158,<a href='http://www.journals.cambridge.org/abstract_S1352465805002158' target='_blank' >http://www.journals.cambridge.org/abstract_S1352465805002158</a>,"Chadwick, Paul, Taylor, Katherine Newman ... Abba, Nicola (2005) Mindfulness groups for people with psychosis. Behavioural and Cognitive Psychotherapy 33:33(3):351-359",2005_005,mindfulness groups for people with psychosis,mindfulness questionnaire (mq),NA,NA,"Chadwick, Paul, Taylor, Katherine Newman ... Abba, Nicola (2005)",Psychotic problems; 
2005,2005,General population,English,English,N,Empirical,Multiple completions for other than therapy purposes,N,N,CORE-OM;CORE-GP;,Paper and pencil;,Beck Depression Inventory-II (BDI-II),UK,NA,Men;Women,"evans, chris; connell, janice; audin, kerry; sinclair, alice; barkham, michael",10.1080/03069880500132581,<a href='http://www.tandfonline.com/doi/abs/10.1080/03069880500132581' target='_blank' >http://www.tandfonline.com/doi/abs/10.1080/03069880500132581</a>,"Evans, Chris, Connell, Janice ... Barkham, Michael (2005) Rationale and development of a general population well-being measure: Psychometric status of the GP-CORE in a student sample. British Journal of Guidance & Counselling 33:33(2):153-173",2005_006,rationale and development of a general population well-being measure: psychometric status of the gp-core in a student sample,beck depression inventory-ii (bdi-ii),Y,NA,"Evans, Chris, Connell, Janice ... Barkham, Michael (2005)",
2005,2005,Treatment,English,English,N,Empirical,Pre-post,N,N,CORE-OM;CORE-A(TAF);,Paper and pencil;,NA,UK,NA,Men;Women,"gilbert, naomi; barkham, michael; richards, ann; cameron, ian",NA,,"Gilbert, Naomi, Barkham, Michael ... Cameron, Ian (2005) The effectiveness of a primary care mental health service delivering brief psychological interventions: A benchmarking study using the CORE system. Primary Care Mental Health 3:3(4):241-251",2005_007,the effectiveness of a primary care mental health service delivering brief psychological interventions: a benchmarking study using the core system,NA,NA,NA,"Gilbert, Naomi, Barkham, Michael ... Cameron, Ian (2005)",Anxiety; Depression; 
2005,2005,Treatment,English,English,N,Empirical,Only once,N,N,CORE-OM;,Unknown;,"General Health Questionnaire (GHQ-12),Work and Social Adjustment Scale (WSAS)",UK,NA,Men;Women,"grayer, j; buszewicz, m; orpwood, lisa; cape; leibowitz, j.",NA,,"Grayer, J, Buszewicz, M ... Leibowitz, J. (2005) A graduate primary care mental health worker pilot study: Facilitating access to voluntary and community sector services. A description of the ‘Community Link Service’. Primary Care Mental Health 3:3(3):181-191",2005_008,a graduate primary care mental health worker pilot study: facilitating access to voluntary and community sector services a description of the ‘community link service',"general health questionnaire (ghq-12),work and social adjustment scale (wsas)",NA,NA,"Grayer, J, Buszewicz, M ... Leibowitz, J. (2005)",Anxiety; Depression; 
2005,2005,Treatment,English,English,Y,Empirical,"Fixed intervals (e.g., once a month, once every two weeks)",N,N,CORE-OM;CORE-A(TAF);CORE-A(EoT);,Paper and pencil;,Short-form Health Survey-36 (SF-36),UK,NA,Men;Women,"greasley, peter; small, neil",10.1191/1463423605pc206oa,<a href='http://journals.cambridge.org/abstract_S1463423605000150' target='_blank' >http://journals.cambridge.org/abstract_S1463423605000150</a>,"Greasley, Peter & Small, Neil (2005) Evaluating a primary care counselling service: Outcomes and issues. Primary Health Care Research and Development 6:6(2):125-136",2005_009,evaluating a primary care counselling service: outcomes and issues,short-form health survey-36 (sf-36),NA,NA,"Greasley, Peter & Small, Neil (2005)",Anxiety; Depression; 
2005,2005,Treatment,English,English,N,Empirical,"Fixed intervals (e.g., once a month, once every two weeks)",N,N,CORE-SF/A;CORE-SF/B;,Unknown;,"Beck Depression Inventory (BDI),Inventory of Interpersonal Problems-Circumplex version (IIP-C),Dysfunctional Attitudes Scale-A (DAS-A),Life Events Questionnaire (LEQ),California Psychotherapy Alliance Scale (CALPAS)",USA,NA,Men;Women,"hardy, gillian e.; cahill, jane; stiles, william b.; ispan, caroline; macaskill, norman; barkham, michael",10.1037/0022-006X.73.1.59,<a href='http://doi.apa.org/getdoi.cfm?doi=10.1037/0022-006X.73.1.59' target='_blank' >http://doi.apa.org/getdoi.cfm?doi=10.1037/0022-006X.73.1.59</a>,"Hardy, Gillian E., Cahill, Jane ... Barkham, Michael (2005) Sudden gains in cognitive therapy for depression: A replication and extension. Journal of Consulting and Clinical Psychology 73:73(1):59-67",2005_010,sudden gains in cognitive therapy for depression: a replication and extension,"beck depression inventory (bdi),inventory of interpersonal problems-circumplex version (iip-c),dysfunctional attitudes scale-a (das-a),life events questionnaire (leq),california psychotherapy alliance scale (calpas)",NA,NA,"Hardy, Gillian E., Cahill, Jane ... Barkham, Michael (2005)",
